StockCode,Description,AvgUnitPrice,TotalSold,PriceTier
20704,MR ROBOT SOFT TOY,4.77051282051282,211,£1-5
20705,MRS ROBOT SOFT TOY,4.807142857142857,143,£1-5
20707,CRAZY DAISY HEART DECORATION,1.5438709677419356,155,£1-5
20711,JUMBO BAG TOYS ,2.01331983805668,4198,£1-5
20712,JUMBO BAG WOODLAND ANIMALS,2.0361971830985914,8187,£1-5
20713,JUMBO BAG OWLS,2.0192874109263657,10466,£1-5
20716,PARTY FOOD SHOPPER BAG,1.2445714285714287,314,£1-5
20717,STRAWBERRY SHOPPER BAG,1.2759322033898306,2036,£1-5
20718,RED RETROSPOT SHOPPER BAG,1.2658717948717948,4264,£1-5
20719,WOODLAND CHARLOTTE BAG,0.8454761904761905,9237,<£1
20723,STRAWBERRY CHARLOTTE BAG,0.86014,6847,<£1
20724,RED RETROSPOT CHARLOTTE BAG,0.8493075898801596,12809,<£1
20725,LUNCH BAG RED RETROSPOT,1.658807896735004,17897,£1-5
20726,LUNCH BAG WOODLAND,1.6592636579572446,9115,£1-5
20727,LUNCH BAG  BLACK SKULL.,1.6438461538461537,11291,£1-5
20728,LUNCH BAG CARS BLUE,1.656875631951466,10820,£1-5
20731,POSY CANDY BAG,1.25,74,£1-5
20733,GOLD MINI TAPE MEASURE ,0.8391836734693877,918,<£1
20735,BLACK MINI TAPE MEASURE ,0.8456666666666667,158,<£1
20748,KENSINGTON COFFEE SET,12.75,53,£5-15
20749,ASSORTED COLOUR MINI CASES,7.790978260869565,1719,£5-15
20750,RED RETROSPOT MINI CASES,7.749455040871935,1712,£5-15
20751,FUNKY WASHING UP GLOVES ASSORTED,2.0958375634517767,973,£1-5
20752,BLUE POLKADOT WASHING UP GLOVES,2.1,367,£1-5
20754,RETROSPOT RED WASHING UP GLOVES,2.0898765432098765,1356,£1-5
20755,BLUE PAISLEY POCKET BOOK,0.85,292,<£1
20756,GREEN FERN POCKET BOOK,0.85,63,<£1
20757,RED DAISY POCKET BOOK ,0.8736363636363635,164,<£1
20758,ABSTRACT CIRCLES POCKET BOOK,0.85,161,<£1
20759,CHRYSANTHEMUM POCKET BOOK ,0.85,64,<£1
20760,GARDEN PATH POCKET BOOK,0.85,69,<£1
20761,BLUE PAISLEY SKETCHBOOK,3.8174545454545457,110,£1-5
20762,GREEN FERN SKETCHBOOK ,3.8227450980392157,101,£1-5
20763,DAISY SKETCHBOOK ,3.6984,71,£1-5
20764,ABSTRACT CIRCLES SKETCHBOOK ,3.9295161290322578,128,£1-5
20765,CHRYSANTHEMUM SKETCHBOOK ,3.96,96,£1-5
20766,GARDEN PATH SKETCHBOOK,3.8824,113,£1-5
20767,BLUE PAISLEY JOURNAL ,2.6216393442622947,217,£1-5
20768,GREEN FERN JOURNAL ,2.6029729729729727,131,£1-5
20769,DAISY JOURNAL ,2.6426923076923075,66,£1-5
20770,ABSTRACT CIRCLE JOURNAL ,2.5344827586206895,108,£1-5
20771,CHRYSANTHEMUM  JOURNAL,2.636071428571429,71,£1-5
20772,GARDEN PATH JOURNAL,2.592608695652174,218,£1-5
20773,BLUE PAISLEY NOTEBOOK,1.6499999999999997,56,£1-5
20774,GREEN FERN NOTEBOOK,1.65,52,£1-5
20775,DAISY NOTEBOOK ,1.65,64,£1-5
20777,CHRYSANTHEMUM NOTEBOOK,1.65,95,£1-5
20778,GARDEN PATH NOTEBOOK ,1.65,15,£1-5
20780,BLACK EAR MUFF HEADPHONES,5.724736842105264,37,£5-15
20781,GOLD EAR MUFF HEADPHONES,4.874347826086956,32,£1-5
20782,CAMOUFLAGE EAR MUFF HEADPHONES,5.587777777777777,40,£5-15
20785,FUSCHIA RETRO BAR STOOL,39.15,14,£15-50
20793,BLUE TILED TRAY,6.75,8,£5-15
20794,BLUE  TILE HOOK,2.5218749999999996,85,£1-5
20795,LARGE BLUE PROVENCAL CERAMIC BALL,2.1,44,£1-5
20796,SMALL BLUE PROVENCAL CERAMIC BALL,1.65,61,£1-5
20798,CLEAR MILKSHAKE GLASS,2.1,36,£1-5
20801,LARGE PINK GLASS SUNDAE DISH,0.9405454545454546,848,<£1
20802,SMALL GLASS SUNDAE DISH CLEAR,1.4686363636363635,648,£1-5
20803,SMALL PINK GLASS SUNDAE DISH,0.515625,917,<£1
20816,GOLD FLOWER CUSHION COVER ,1.95,8,£1-5
20818,GOLD TEDDY BEAR,2.5,12,£1-5
20819,SILVER TEDDY BEAR,3.981875,48,£1-5
20820,SILVER LOOKING MIRROR,4.95,5,£1-5
20821,GOLDIE LOOKING MIRROR,4.95,16,£1-5
20823,GOLD WINE GOBLET,0.79,164,<£1
20826,SILVER APERITIF GLASS,0.8225,276,<£1
20827,GOLD APERITIF GLASS,0.39,88,<£1
20828,GLITTER BUTTERFLY CLIPS,2.540322580645161,1012,£1-5
20829,GLITTER HANGING BUTTERFLY STRING,2.1527810650887576,1265,£1-5
20830,SILVER PHOTO FRAME,2.1,75,£1-5
20831,GOLD PHOTO FRAME,1.8645833333333333,169,£1-5
20832,RED FLOCK LOVE HEART PHOTO FRAME,0.5745614035087719,1034,<£1
20835,FRENCH LATTICE CUSHION COVER ,0.83,66,<£1
20836,FRENCH PAISLEY CUSHION COVER,0.83,170,<£1
20837,FRENCH FLORAL CUSHION COVER ,0.9713333333333334,141,<£1
20838,FRENCH LATTICE CUSHION COVER ,0.9239393939393938,330,<£1
20839,FRENCH PAISLEY CUSHION COVER ,0.9855102040816326,452,<£1
20840,FRENCH FLORAL CUSHION COVER ,0.9609090909090909,464,<£1
20845,ZINC HEART LATTICE 2 WALL PLANTER,6.35,19,£5-15
20846,ZINC HEART LATTICE T-LIGHT HOLDER,1.26,647,£1-5
20847,ZINC HEART LATTICE CHARGER LARGE,3.75,46,£1-5
20848,ZINC HEART LATTICE CHARGER SMALL,2.95,21,£1-5
20851,ZINC HEART LATTICE TRAY OVAL ,5.95,9,£5-15
20854,BLUE PATCH PURSE PINK HEART,1.6388888888888888,166,£1-5
20856,DENIM PATCH PURSE PINK BUTTERFLY,1.65,140,£1-5
20857,BLUE ROSE PATCH PURSE PINK BUTTERFL,1.65,32,£1-5
20861,GOLD COSMETIC BAG PINK STAR,2.1,2,£1-5
20866,BLUE ROSE FABRIC MIRROR,1.3036842105263158,409,£1-5
20867,PINK ROSE FABRIC MIRROR,1.2424,187,£1-5
20868,SILVER FABRIC MIRROR,0.567741935483871,381,<£1
20869,GOLD FABRIC MIRROR,0.39,139,<£1
20878,SET/9 CHRISTMAS T-LIGHTS SCENTED ,1.25,25,£1-5
20886,BOX OF 9 PEBBLE CANDLES,1.9462025316455696,453,£1-5
20892,SET/3 TALL GLASS CANDLE HOLDER PINK,12.75,1,£5-15
20893,HANGING BAUBLE T-LIGHT HOLDER SMALL,2.4825,259,£1-5
20894,HANGING BAUBLE T-LIGHT HOLDER LARGE,2.95,25,£1-5
20897,VINTAGE NOTEBOOK PARIS DAYS,2.9000000000000004,85,£1-5
20898,VINTAGE NOTEBOOK TRAVELOGUE,2.95,25,£1-5
20901,VINTAGE KEEPSAKE BOX PINK FLOWER,6.349999999999999,4,£5-15
20902,VINTAGE KEEPSAKE BOX PARIS DAYS,6.216666666666666,33,£5-15
20903,VINTAGE KEEPSAKE BOX TRAVELOGUE,6.35,20,£5-15
20906,VINTAGE NOTEBOOK BEAUTY GIRL,2.95,3,£1-5
20910,VINTAGE PHOTO ALBUM PARIS DAYS,6.349999999999999,8,£5-15
20914,SET/5 RED RETROSPOT LID GLASS BOWLS,2.9525,6170,£1-5
20931,BLUE POT PLANT CANDLE ,3.114864864864865,263,£1-5
20932,PINK POT PLANT CANDLE,3.0090909090909093,189,£1-5
20933,YELLOW POT PLANT CANDLE,3.127777777777778,23,£1-5
20934,SET/3 POT PLANT CANDLES,5.45,54,£5-15
20935,ROUND CACTUS CANDLE,2.95,6,£1-5
20936,FORKED CACTUS CANDLE,3.0876923076923077,92,£1-5
20941,FROG CANDLE,1.25,61,£1-5
20956,PORCELAIN T-LIGHT HOLDERS ASSORTED,1.289672131147541,730,£1-5
20961,STRAWBERRY BATH SPONGE ,1.3151538461538461,1029,£1-5
20963,APPLE BATH SPONGE,1.326825396825397,1102,£1-5
20964,POLYESTER FILLER PAD 60x40cm,2.55,2,£1-5
20966,SANDWICH BATH SPONGE,1.2453658536585366,589,£1-5
20967,GREY FLORAL FELTCRAFT SHOULDER BAG,3.75,257,£1-5
20969,RED FLORAL FELTCRAFT SHOULDER BAG,3.8192664092664095,1876,£1-5
20970,PINK FLORAL FELTCRAFT SHOULDER BAG,3.7809051724137928,1081,£1-5
20971,PINK BLUE FELT CRAFT TRINKET BOX,1.269508547008547,10225,£1-5
20972,PINK CREAM FELT CRAFT TRINKET BOX ,1.2744545454545455,7131,£1-5
20973,12 PENCIL SMALL TUBE WOODLAND,0.6654639175257732,4007,<£1
20974,12 PENCILS SMALL TUBE SKULL,0.6483498349834984,6734,<£1
20975,12 PENCILS SMALL TUBE RED RETROSPOT,0.6490476190476191,6400,<£1
20977,36 PENCILS TUBE WOODLAND,1.2486896551724138,1597,£1-5
20978,36 PENCILS TUBE SKULLS,1.248972972972973,1631,£1-5
20979,36 PENCILS TUBE RED RETROSPOT,1.2443162393162395,3523,£1-5
20980,36 PENCILS TUBE POSY,1.25,27,£1-5
20981,12 PENCILS TALL TUBE WOODLAND,0.85,1851,<£1
20982,12 PENCILS TALL TUBE SKULLS,0.8494144144144143,2019,<£1
20983,12 PENCILS TALL TUBE RED RETROSPOT,0.84948,2652,<£1
20984,12 PENCILS TALL TUBE POSY,0.36318181818181816,3809,<£1
20985,HEART CALCULATOR,1.2779166666666668,1017,£1-5
20986,BLUE CALCULATOR RULER,1.3207936507936506,462,£1-5
20992,JAZZ HEARTS PURSE NOTEBOOK,0.4600766283524904,4365,<£1
20996,JAZZ HEARTS ADDRESS BOOK,0.2522872340425532,3057,<£1
20997,ROSE DU SUD CUSHION COVER ,4.95,15,£1-5
20998,ROSE DU SUD OVEN GLOVE,2.935714285714286,119,£1-5
21000,ROSE DU SUD COSMETICS BAG,4.25,46,£1-5
21001,ROSE DU SUD WASHBAG ,5.950000000000001,25,£5-15
21002,ROSE DU SUD DRAWSTRING BAG,4.25,13,£1-5
21003,ROSE DU SUD CUSHION COVER,6.349999999999999,13,£5-15
21011,GLITTER SNOW PEAR TREE DECORATION,1.45,18,£1-5
21012,ANTIQUE ALL GLASS CANDLESTICK,2.085180722891566,567,£1-5
21014,SWISS CHALET TREE DECORATION ,0.41,1233,<£1
21015,DARK BIRD HOUSE TREE DECORATION,0.3229411764705882,1251,<£1
21018,BIRD BOX CHRISTMAS TREE DECORATION,0.85,22,<£1
21025,SPACE FROG,1.465,100,£1-5
21026,SPACE OWL,1.3392,143,£1-5
21027,NINJA RABBIT PINK,1.24,101,£1-5
21028,NINJA RABBIT BLACK,1.52,116,£1-5
21030,SPACE CADET RED,1.3026086956521739,121,£1-5
21031,SPACE CADET BLACK,1.36,40,£1-5
21032,SPACE CADET WHITE,1.476875,65,£1-5
21033,JUMBO BAG CHARLIE AND LOLA TOYS,2.318348623853211,922,£1-5
21034,REX CASH+CARRY JUMBO SHOPPER,0.95,1893,<£1
21035,SET/2 RED RETROSPOT TEA TOWELS ,3.2901777777777776,2319,£1-5
21038,SET/4 MODERN VINTAGE COTTON NAPKINS,1.1656521739130437,77,£1-5
21039,RED RETROSPOT SHOPPING BAG,2.7124675324675325,510,£1-5
21040,MODERN VINTAGE COTTON SHOPPING BAG,1.67,22,£1-5
21041,RED RETROSPOT OVEN GLOVE DOUBLE,2.95,576,£1-5
21042,RED RETROSPOT APRON ,5.950000000000001,303,£5-15
21043,APRON MODERN VINTAGE COTTON,2.2948275862068965,443,£1-5
21051,RIBBONS PURSE ,2.1845833333333333,108,£1-5
21054,NURSE'S BAG SOFT TOY,8.95,68,£5-15
21055,TOOL BOX SOFT TOY ,9.498571428571427,146,£5-15
21056,DOCTOR'S BAG SOFT TOY,9.749393939393938,174,£5-15
21058,PARTY INVITES WOODLAND,0.8641304347826086,1049,<£1
21059,PARTY INVITES DINOSAURS,0.8500000000000001,573,<£1
21060,PARTY INVITES BALLOON GIRL,0.85,356,<£1
21061,PARTY INVITES FOOTBALL,0.8499999999999999,412,<£1
21062,PARTY INVITES SPACEMAN,0.85,501,<£1
21063,PARTY INVITES JAZZ HEARTS,0.8692592592592592,483,<£1
21064,BOOM BOX SPEAKER BOYS,5.010000000000001,176,£5-15
21065,BOOM BOX SPEAKER GIRLS,4.347727272727273,487,£1-5
21066,VINTAGE RED MUG,1.2347619047619047,688,£1-5
21067,VINTAGE RED TEATIME MUG,1.2456818181818183,203,£1-5
21068,VINTAGE BILLBOARD LOVE/HATE MUG,1.2177777777777778,1535,£1-5
21069,VINTAGE BILLBOARD TEA MUG,1.2353846153846153,1868,£1-5
21070,VINTAGE BILLBOARD MUG ,1.3265822784810126,1033,£1-5
21071,VINTAGE BILLBOARD DRINK ME MUG,1.2316363636363636,849,£1-5
21078,SET/20 STRAWBERRY PAPER NAPKINS ,0.8504878048780488,2494,<£1
21080,SET/20 RED RETROSPOT PAPER NAPKINS ,0.8391102257636123,12313,<£1
21084,SET/6 COLLAGE PAPER CUPS,0.25754716981132075,2199,<£1
21086,SET/6 RED SPOTTY PAPER CUPS,0.6587837837837838,6589,<£1
21087,SET/6 POSIES PAPER CUPS,0.466,126,<£1
21088,SET/6 FRUIT SALAD PAPER CUPS,0.257027027027027,1576,<£1
21089,SET/6 GREEN SPRING PAPER CUPS,0.22833333333333336,231,<£1
21090,SET/6 COLLAGE PAPER PLATES,0.46210084033613447,1672,<£1
21094,SET/6 RED SPOTTY PAPER PLATES,0.8289634146341462,7351,<£1
21095,SET/6 POSIES PAPER PLATES,0.85,95,<£1
21096,SET/6 FRUIT SALAD  PAPER PLATES,0.4482857142857143,1143,<£1
21098,CHRISTMAS TOILET ROLL,1.3019565217391305,3176,£1-5
21100,CHARLIE AND LOLA CHARLOTTE BAG,1.65,43,£1-5
21106,CREAM SLICE FLANNEL CHOCOLATE SPOT ,2.9042857142857144,193,£1-5
21107,CREAM SLICE FLANNEL PINK SPOT ,2.871212121212121,840,£1-5
21108,FAIRY CAKE FLANNEL ASSORTED COLOUR,1.4016751269035532,10082,£1-5
21109,LARGE CAKE TOWEL CHOCOLATE SPOTS,4.141780821917808,837,£1-5
21110,LARGE CAKE TOWEL PINK SPOTS,5.4775,775,£5-15
21111,"SWISS ROLL TOWEL, CHOCOLATE  SPOTS",2.1423076923076922,789,£1-5
21112,SWISS ROLL TOWEL PINK  SPOTS,2.5917391304347825,1245,£1-5
21114,LAVENDER SCENTED FABRIC HEART,1.3203007518796992,1352,£1-5
21115,ROSE CARAVAN DOORSTOP,5.82187969924812,523,£5-15
21116,OWL DOORSTOP,4.948644067796611,489,£1-5
21117,BLOND DOLL DOORSTOP,1.5735294117647058,115,£1-5
21121,SET/10 RED POLKADOT PARTY CANDLES,1.2466860465116278,6502,£1-5
21122,SET/10 PINK POLKADOT PARTY CANDLES,1.2514285714285713,5257,£1-5
21123,SET/10 IVORY POLKADOT PARTY CANDLES,1.2376470588235293,975,£1-5
21124,SET/10 BLUE POLKADOT PARTY CANDLES,1.2475431034482758,3970,£1-5
21125,SET 6 FOOTBALL CELEBRATION CANDLES,1.25,598,£1-5
21126,SET OF 6 GIRLS CELEBRATION CANDLES,1.2472463768115942,488,£1-5
21128,GOLD FISHING GNOME,6.9193750000000005,47,£5-15
21129,SILVER FISHING GNOME ,8.2775,45,£5-15
21131,GOLD STANDING GNOME,3.8676470588235294,93,£1-5
21132,SILVER STANDING GNOME   ,3.875,35,£1-5
21135,VICTORIAN  METAL POSTCARD SPRING,1.6657738095238093,2708,£1-5
21136,PAINTED METAL PEARS ASSORTED,1.6926243093922653,4476,£1-5
21137,BLACK RECORD COVER FRAME,3.660536277602524,11406,£1-5
21143,ANTIQUE GLASS HEART DECORATION ,1.95,296,£1-5
21145,ANTIQUE GLASS PLACE SETTING,1.25,122,£1-5
21147,JINGLE BELLS TREE DECORATION,2.2800000000000002,89,£1-5
21154,RED RETROSPOT OVEN GLOVE ,1.2947014925373135,3187,£1-5
21155,RED RETROSPOT PEG BAG,2.521052631578947,2460,£1-5
21156,RETROSPOT CHILDRENS APRON,2.0006802721088435,3039,£1-5
